GJ_Anand,,Anand
GJ_Aravalli,,Aravalli
GJ_Banaskantha,,Banaskantha
GJ_Bharuch,,Bharuch
GJ_Bhavnagar,,Bhavnagar
GJ_Bhavnagar,,Bhavnagar
GJ_Botad,,Botad
GJ_Chhota Udaipur,,Chhota Udaipur
GJ_Dahod,,Dahod
GJ_Dang,,Dang
GJ_Devbhumi Dwarka,,Devbhumi Dwarka
GJ_Gandhinagar,,Gandhinagar
GJ_Gandhinagar,,Gandhinagar
GJ_Gir Somnath,,Gir Somnath
GJ_Jamnagar,,Jamnagar
GJ_Jamnagar,,Jamnagar
GJ_Junagadh,,Junagadh
GJ_Junagadh,,Junagadh
GJ_Kheda,,Kheda
GJ_Kutch,,Kutch
GJ_Mahisagar,,Mahisagar
GJ_Mehsana,,Mehsana
GJ_Morbi,,Morbi
GJ_Narmada,,Narmada
GJ_Navsari,,Navsari
GJ_Panchmahal,,Panchmahal
GJ_Patan,,Patan
GJ_Porbandar,,Porbandar
GJ_Rajkot,,Rajkot
GJ_Rajkot,,Rajkot
GJ_Sabarkantha,,Sabarkantha
GJ_Surat,,Surat
GJ_Surat,,Surat
GJ_Surendranagar,,Surendranagar
GJ_Tapi,,Tapi
GJ_Vadodara,,Vadodara
GJ_Vadodara,,Vadodara
GJ_Valsad,,Valsad
HR_Ambala,,Ambala
HR_Bhiwani,,Bhiwani
HR_Charkhi Dadri,,Charkhi Dadri
HR_Faridabad,,Faridabad
HR_Fatehabad,,Fatehabad
HR_Gurugram,,Gurugram
HR_Hisar,,Hisar
HR_Jhajjar,,Jhajjar
HR_Jind,,Jind
HR_Kaithal,,Kaithal
HR_Karnal,,Karnal
HR_Kurukshetra,,Kurukshetra
HR_Mahendragarh,,Mahendragarh
HR_Nuh,,Nuh
HR_Palwal,,Palwal
HR_Panchkula,,Panchkula
HR_Panipat,,Panipat
HR_Rewari,,Rewari
HR_Rohtak,,Rohtak
HR_Sirsa,,Sirsa
HR_Sonipat,,Sonipat
HR_Yamunanagar,,Yamunanagar
HP_Bilaspur,,Bilaspur
HP_Chamba,,Chamba
HP_Hamirpur,,Hamirpur
HP_Kangra,,Kangra
HP_Kinnaur,,Kinnaur
HP_Kullu,,Kullu
HP_Lahaul and Spiti,,Lahaul and Spiti
HP_Mandi,,Mandi
HP_Shimla,,Shimla
HP_Sirmaur,,Sirmaur
HP_Solan,,Solan
HP_Una,,Una
JK_Anantnag,,Anantnag
JK_Bandipora,,Bandipora
JK_Baramulla,,Baramulla
JK_Budgam,,Budgam
JK_Doda,,Doda
JK_Ganderbal,,Ganderbal
JK_Jammu,,Jammu
JK_Kathua,,Kathua
JK_Kishtwar,,Kishtwar
JK_Kulgam,,Kulgam
JK_Kupwara,,Kupwara
JK_Punch,,Punch
JK_Pulwama,,Pulwama
JK_Rajouri,,Rajouri
JK_Ramban,,Ramban
JK_Reasi,,Reasi
JK_Samba,,Samba
JK_Shopiyan,,Shopiyan
JK_Srinagar,,Srinagar
JK_Udhampur,,Udhampur
JH_Bokaro,,Bokaro
JH_Chatra,,Chatra
JH_Deoghar,,Deoghar
JH_Dhanbad,,Dhanbad
JH_Dumka,,Dumka
JH_East Singhbhum,,East Singhbhum
JH_Garhwa,,Garhwa
JH_Giridih,,Giridih
JH_Godda,,Godda
JH_Gumla,,Gumla
JH_Hazaribagh,,Hazaribagh
JH_Jamtara,,Jamtara
JH_Khunti,,Khunti
JH_Koderma,,Koderma
JH_Latehar,,Latehar
JH_Lohardaga,,Lohardaga
JH_Pakur,,Pakur
JH_Palamu,,Palamu
JH_Ramgarh,,Ramgarh
JH_Ranchi,,Ranchi
JH_Sahibganj,,Sahibganj
JH_Saraikela-Kharsawan,,Saraikela-Kharsawan
JH_Simdega,,Simdega
JH_West Singhbhum,,West Singhbhum
KA_Bagalkote,,Bagalkote
KA_Bengaluru Rural,,Bengaluru Rural
KA_Bengaluru Urban,,Bengaluru Urban
KA_Bengaluru Urban,,Bengaluru Urban
KA_Belagavi,,Belagavi
KA_Ballari,,Ballari
KA_Bidar,,Bidar
KA_Chamarajanagara,,Chamarajanagara
KA_Chikkamagaluru,,Chikkamagaluru
KA_Chikkaballapura,,Chikkaballapura
KA_Chitradurga,,Chitradurga
KA_Dakshina Kannada,,Dakshina Kannada
KA_Davanagere,,Davanagere
KA_Dharwad,,Dharwad
KA_Gadag,,Gadag
KA_Kalaburagi,,Kalaburagi
KA_Hassan,,Hassan
KA_Haveri,,Haveri
KA_Kodagu,,Kodagu
KA_Kolar,,Kolar
KA_Koppal,,Koppal
KA_Mandya,,Mandya
KA_Mysuru,,Mysuru
KA_Raichur,,Raichur
KA_Ramanagara,,Ramanagara
KA_Shivamogga,,Shivamogga
KA_Tumakuru,,Tumakuru
KA_Udupi,,Udupi
KA_Uttara Kannada,,Uttara Kannada
KA_Vijayapura,,Vijayapura
KA_Yadgir,,Yadgir
KL_Alappuzha,,Alappuzha
KL_Ernakulam,,Ernakulam
KL_Idukki,,Idukki
KL_Kannur,,Kannur
KL_Kasaragod,,Kasaragod
KL_Kollam,,Kollam
KL_Kottayam,,Kottayam
KL_Kozhikode,,Kozhikode
KL_Malappuram,,Malappuram
KL_Palakkad,,Palakkad
KL_Pathanamthitta,,Pathanamthitta
KL_Thiruvananthapuram,,Thiruvananthapuram
KL_Thrissur,,Thrissur
KL_Wayanad,,Wayanad
LA_Kargil,,Kargil
LA_Leh,,Leh
LD_Lakshadweep,,Lakshadweep
MP_Agar Malwa,,Agar Malwa
MP_Alirajpur,,Alirajpur
MP_Anuppur,,Anuppur
MP_Ashoknagar,,Ashoknagar
MP_Balaghat,,Balaghat
MP_Barwani,,Barwani
MP_Betul,,Betul
MP_Bhind,,Bhind
MP_Bhopal,,Bhopal
MP_Burhanpur,,Burhanpur
MP_Chhatarpur,,Chhatarpur
MP_Chhindwara,,Chhindwara
MP_Damoh,,Damoh
MP_Datia,,Datia
MP_Dewas,,Dewas
MP_Dhar,,Dhar
MP_Dindori,,Dindori
MP_Guna,,Guna
MP_Gwalior,,Gwalior
MP_Harda,,Harda
MP_Hoshangabad,,Hoshangabad
MP_Indore,,Indore
MP_Jabalpur,,Jabalpur
MP_Jhabua,,Jhabua
MP_Katni,,Katni
MP_Khandwa,,Khandwa
MP_Khargone,,Khargone
MP_Mandla,,Mandla
MP_Mandsaur,,Mandsaur
MP_Morena,,Morena
MP_Narsinghpur,,Narsinghpur
MP_Neemuch,,Neemuch
MP_Panna,,Panna
MP_Raisen,,Raisen
MP_Rajgarh,,Rajgarh
